GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Utils,org.owasp.dependencycheck.utils.scarf,TelemetryCollector,43,54,13,5,11,19,11,3,2,3
Dependency-Check Utils,org.owasp.dependencycheck.utils.scarf,TelemetryCollector.new Thread() {...},1,24,0,0,1,6,0,2,0,2
Dependency-Check Utils,org.owasp.dependencycheck.utils.search,FileContentSearch,0,70,0,6,0,11,0,6,0,3
Dependency-Check Utils,org.owasp.dependencycheck.utils,Downloader.SelectiveProxySelector,84,0,10,0,18,0,8,0,3,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,ResourceNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,Downloader,959,418,99,22,152,101,67,22,5,22
Dependency-Check Utils,org.owasp.dependencycheck.utils,ToXMLDocumentResponseHandler,25,0,0,0,7,0,2,0,2,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,XmlUtils.ExternalInterceptingEntityResolver,0,68,0,0,0,12,0,8,0,8
Dependency-Check Utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,AutoCloseableInputSource,0,42,0,2,0,13,0,6,0,5
Dependency-Check Utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,FileUtils,90,85,15,11,28,22,13,9,3,6
Dependency-Check Utils,org.owasp.dependencycheck.utils,JsonArrayFixingInputStream,68,379,21,51,7,78,15,34,0,13
Dependency-Check Utils,org.owasp.dependencycheck.utils,Settings,470,442,58,42,107,107,56,39,14,31
Dependency-Check Utils,org.owasp.dependencycheck.utils,SaveToFileResponseHandler,0,42,0,2,0,13,0,3,0,2
Dependency-Check Utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,0,32,0,2,0,7,0,3,0,2
Dependency-Check Utils,org.owasp.dependencycheck.utils,InvalidSettingException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Utils,org.owasp.dependencycheck.utils,HC5CredentialHelper,113,0,2,0,24,0,4,0,3,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,Downloader.new ProxySelector() {...},4,6,0,0,2,1,2,1,2,1
Dependency-Check Utils,org.owasp.dependencycheck.utils,TooManyRequestsException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,ForbiddenException,9,0,0,0,4,0,2,0,2,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,ExplicitCharsetToStringResponseHandler,27,20,5,1,4,6,3,2,0,2
Dependency-Check Utils,org.owasp.dependencycheck.utils,Checksum,35,178,2,10,8,36,4,15,2,10
Dependency-Check Utils,org.owasp.dependencycheck.utils,Checksum.FileChecksums,0,12,0,0,0,5,0,1,0,1
Dependency-Check Utils,org.owasp.dependencycheck.utils,XmlUtils,103,58,11,0,25,17,11,2,5,2
Dependency-Check Utils,org.owasp.dependencycheck.utils.processing,Processor,38,0,4,0,12,0,7,0,5,0
Dependency-Check Utils,org.owasp.dependencycheck.utils.processing,ProcessReader.Gobbler,29,0,2,0,12,0,5,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils.processing,ProcessReader,139,0,14,0,39,0,15,0,8,0
